Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG,Jared Terrell (11721044),Jared Terrell,11721044,PG/G/UTIL,3000,SA@MIN 11/28/2018 08:00PM ET,MIN,12.25
SG/SF,James Nunnally (11721047),James Nunnally,11721047,SG/SF/F/G/UTIL,3000,SA@MIN 11/28/2018 08:00PM ET,MIN,4.46
PG/SG,Jerryd Bayless (11721052),Jerryd Bayless,11721052,PG/SG/G/UTIL,3000,SA@MIN 11/28/2018 08:00PM ET,MIN,0
SG/SF,C.J. Williams (11721056),C.J. Williams,11721056,SG/SF/F/G/UTIL,3000,SA@MIN 11/28/2018 08:00PM ET,MIN,3.5
SF/PF,Luol Deng (11721061),Luol Deng,11721061,SF/PF/F/UTIL,3000,SA@MIN 11/28/2018 08:00PM ET,MIN,9.5
SF/PF,Anthony Tolliver (11721065),Anthony Tolliver,11721065,SF/PF/F/UTIL,3000,SA@MIN 11/28/2018 08:00PM ET,MIN,12.62
PF/C,Drew Eubanks (11721347),Drew Eubanks,11721347,PF/C/F/UTIL,3000,SA@MIN 11/28/2018 08:00PM ET,SA,2.75
C,Ekpe Udoh (11721069),Ekpe Udoh,11721069,C/UTIL,3000,UTA@BKN 11/28/2018 07:30PM ET,UTA,3.45
PF,Tyler Cavanaugh (11721071),Tyler Cavanaugh,11721071,PF/F/UTIL,3000,UTA@BKN 11/28/2018 07:30PM ET,UTA,0
PG,Nazareth Mitrou-Long (11721074),Nazareth Mitrou-Long,11721074,PG/G/UTIL,3000,UTA@BKN 11/28/2018 07:30PM ET,UTA,0
SF/PF,Georges Niang (11721077),Georges Niang,11721077,SF/PF/F/UTIL,3000,UTA@BKN 11/28/2018 07:30PM ET,UTA,6.32
C,Tony Bradley (11721081),Tony Bradley,11721081,C/UTIL,3000,UTA@BKN 11/28/2018 07:30PM ET,UTA,0
PF/C,Kenneth Faried (11721083),Kenneth Faried,11721083,PF/C/F/UTIL,3000,UTA@BKN 11/28/2018 07:30PM ET,BKN,6.04
C,Alan Williams (11721087),Alan Williams,11721087,C/UTIL,3000,UTA@BKN 11/28/2018 07:30PM ET,BKN,0
SG/SF,Treveon Graham (11721089),Treveon Graham,11721089,SG/SF/F/G/UTIL,3000,UTA@BKN 11/28/2018 07:30PM ET,BKN,3.75
SG/SF,Theo Pinson (11721094),Theo Pinson,11721094,SG/SF/F/G/UTIL,3000,UTA@BKN 11/28/2018 07:30PM ET,BKN,3.88
SF/PF,Rodions Kurucs (11721099),Rodions Kurucs,11721099,SF/PF/F/UTIL,3000,UTA@BKN 11/28/2018 07:30PM ET,BKN,10.89
SG/SF,Dzanan Musa (11721103),Dzanan Musa,11721103,SG/SF/F/G/UTIL,3000,UTA@BKN 11/28/2018 07:30PM ET,BKN,2.96
SG/SF,Nik Stauskas (11721108),Nik Stauskas,11721108,SG/SF/F/G/UTIL,3000,ORL@POR 11/28/2018 10:00PM ET,POR,13.02
PG/SG,Wade Baldwin IV (11721113),Wade Baldwin IV,11721113,PG/SG/G/UTIL,3000,ORL@POR 11/28/2018 10:00PM ET,POR,2.47
PF/C,Caleb Swanigan (11721117),Caleb Swanigan,11721117,PF/C/F/UTIL,3000,ORL@POR 11/28/2018 10:00PM ET,POR,8.75
PG/SG,Seth Curry (11721121),Seth Curry,11721121,PG/SG/G/UTIL,3000,ORL@POR 11/28/2018 10:00PM ET,POR,8.17
SG,Gary Trent Jr. (11721125),Gary Trent Jr.,11721125,SG/G/UTIL,3000,ORL@POR 11/28/2018 10:00PM ET,POR,7.12
PG/SG,Anfernee Simons (11721128),Anfernee Simons,11721128,PG/SG/G/UTIL,3000,ORL@POR 11/28/2018 10:00PM ET,POR,3.45
C,Timofey Mozgov (11721132),Timofey Mozgov,11721132,C/UTIL,3000,ORL@POR 11/28/2018 10:00PM ET,ORL,0
PF/C,Amile Jefferson (11721134),Amile Jefferson,11721134,PF/C/F/UTIL,3000,ORL@POR 11/28/2018 10:00PM ET,ORL,0
PG/SG,Isaiah Briscoe (11721138),Isaiah Briscoe,11721138,PG/SG/G/UTIL,3000,ORL@POR 11/28/2018 10:00PM ET,ORL,4.06
SG/SF,Melvin Frazier (11721142),Melvin Frazier,11721142,SG/SF/F/G/UTIL,3000,ORL@POR 11/28/2018 10:00PM ET,ORL,-0.25
SG/SF,Wes Iwundu (11721147),Wes Iwundu,11721147,SG/SF/F/G/UTIL,3000,ORL@POR 11/28/2018 10:00PM ET,ORL,9.72
SG,Troy Caupain (11721152),Troy Caupain,11721152,SG/G/UTIL,3000,ORL@POR 11/28/2018 10:00PM ET,ORL,0
PG,Jerian Grant (11721351),Jerian Grant,11721351,PG/G/UTIL,3000,ORL@POR 11/28/2018 10:00PM ET,ORL,14.13
PF/C,Zhou Qi (11721155),Zhou Qi,11721155,PF/C/F/UTIL,3000,DAL@HOU 11/28/2018 08:00PM ET,HOU,2
PG/SG,Brandon Knight (11721159),Brandon Knight,11721159,PG/SG/G/UTIL,3000,DAL@HOU 11/28/2018 08:00PM ET,HOU,0
SF/PF,Vincent Edwards (11721163),Vincent Edwards,11721163,SF/PF/F/UTIL,3000,DAL@HOU 11/28/2018 08:00PM ET,HOU,4.75
PF/C,Marquese Chriss (11721167),Marquese Chriss,11721167,PF/C/F/UTIL,3000,DAL@HOU 11/28/2018 08:00PM ET,HOU,3.38
PG,Michael Carter-Williams (11721171),Michael Carter-Williams,11721171,PG/G/UTIL,3000,DAL@HOU 11/28/2018 08:00PM ET,HOU,9.07
SG/SF,Danuel House (11721174),Danuel House,11721174,SG/SF/F/G/UTIL,3000,DAL@HOU 11/28/2018 08:00PM ET,HOU,8.75
