Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG,Nazareth Mitrou-Long (11676779),Nazareth Mitrou-Long,11676779,PG/G/UTIL,3000,SAC@UTA 11/21/2018 09:00PM ET,UTA,0
C,Tony Bradley (11676782),Tony Bradley,11676782,C/UTIL,3000,SAC@UTA 11/21/2018 09:00PM ET,UTA,0
SF,Wenyen Gabriel (11676784),Wenyen Gabriel,11676784,SF/F/UTIL,3000,SAC@UTA 11/21/2018 09:00PM ET,SAC,0
SF,Royce O'Neale (11676861),Royce O'Neale,11676861,SF/F/UTIL,3000,SAC@UTA 11/21/2018 09:00PM ET,UTA,9.07
SG,Alec Burks (11676873),Alec Burks,11676873,SG/G/UTIL,3000,SAC@UTA 11/21/2018 09:00PM ET,UTA,12.38
SG,Troy Williams (11676887),Troy Williams,11676887,SG/G/UTIL,3000,SAC@UTA 11/21/2018 09:00PM ET,SAC,13.53
PF,Harry Giles (11676911),Harry Giles,11676911,PF/F/UTIL,3000,SAC@UTA 11/21/2018 09:00PM ET,SAC,10.17
SF/PF,Thabo Sefolosha (11676914),Thabo Sefolosha,11676914,SF/PF/F/UTIL,3000,SAC@UTA 11/21/2018 09:00PM ET,UTA,6.15
PG,Raul Neto (11676949),Raul Neto,11676949,PG/G/UTIL,3000,SAC@UTA 11/21/2018 09:00PM ET,UTA,6.5
SG,Grayson Allen (11676962),Grayson Allen,11676962,SG/G/UTIL,3000,SAC@UTA 11/21/2018 09:00PM ET,UTA,5.36
C,Ekpe Udoh (11676975),Ekpe Udoh,11676975,C/UTIL,3000,SAC@UTA 11/21/2018 09:00PM ET,UTA,3.67
PG/SG,Yogi Ferrell (11676987),Yogi Ferrell,11676987,PG/SG/G/UTIL,3000,SAC@UTA 11/21/2018 09:00PM ET,SAC,10.82
PF,Georges Niang (11677092),Georges Niang,11677092,PF/F/UTIL,3000,SAC@UTA 11/21/2018 09:00PM ET,UTA,6.25
PF/C,Zach Randolph (11677095),Zach Randolph,11677095,PF/C/F/UTIL,3000,SAC@UTA 11/21/2018 09:00PM ET,SAC,0
SG/SF,Ben McLemore (11677099),Ben McLemore,11677099,SG/SF/F/G/UTIL,3000,SAC@UTA 11/21/2018 09:00PM ET,SAC,3
PF/C,Skal Labissiere (11677104),Skal Labissiere,11677104,PF/C/F/UTIL,3000,SAC@UTA 11/21/2018 09:00PM ET,SAC,5.42
C,Kosta Koufos (11677167),Kosta Koufos,11677167,C/UTIL,3000,SAC@UTA 11/21/2018 09:00PM ET,SAC,14.93
C,Alan Williams (11676787),Alan Williams,11676787,C/UTIL,3000,BKN@DAL 11/21/2018 08:30PM ET,BKN,0
SG,Theo Pinson (11676789),Theo Pinson,11676789,SG/G/UTIL,3000,BKN@DAL 11/21/2018 08:30PM ET,BKN,3.88
PG,Daryl Macon (11676792),Daryl Macon,11676792,PG/G/UTIL,3000,BKN@DAL 11/21/2018 08:30PM ET,DAL,0
SF,Kostas Antetokounmpo (11676795),Kostas Antetokounmpo,11676795,SF/F/UTIL,3000,BKN@DAL 11/21/2018 08:30PM ET,DAL,0
